ORDER_NUMBER|LINE_STATUS|PRODUCT_NUMBER|ORDERED_PIECES|SHIPPED_PIECES|BILL_OF_LADING
order-188|Closed|product-833|4000|2800|344
order-189|Open|product-833|4000|1000|543543543
order-189|Closed|product-833|4000|2800|543543
order-190|Closed|product-572|1234|1234|bill-number
order-191|Closed|product-572|1|0|
order-192|Closed|product-572|4000|1200|12
order-192|Open|product-572|4000|2000|
order-193|Closed|product-572|4000|1200|1235
order-193|Closed|product-572|4000|2800|344
order-194|Open|product-572|4000|1000|543543543
order-194|Closed|product-572|4000|2800|543543
order-195|Closed|product-890|1234|1234|bill-number
order-196|Closed|product-890|1|0|
order-197|Closed|product-890|4000|1200|12
order-197|Open|product-890|4000|2000|
order-198|Closed|product-890|4000|1200|1235
order-198|Closed|product-890|4000|2800|344
order-199|Open|product-890|4000|1000|543543543
order-199|Closed|product-890|4000|2800|543543
order-200|Closed|product-569|1234|1234|bill-number
order-201|Closed|product-569|1|0|
order-202|Closed|product-569|4000|1200|12
order-202|Open|product-569|4000|2000|
order-203|Closed|product-569|4000|1200|1235
order-203|Closed|product-569|4000|2800|344
order-204|Open|product-569|4000|1000|543543543
order-204|Closed|product-569|4000|2800|543543
order-205|Closed|product-734|1234|1234|bill-number
order-206|Closed|product-734|1|0|
order-207|Closed|product-734|4000|1200|12
order-207|Open|product-734|4000|2000|
order-208|Closed|product-734|4000|1200|1235
order-208|Closed|product-734|4000|2800|344
order-209|Open|product-734|4000|1000|543543543
order-209|Closed|product-734|4000|2800|543543
order-210|Closed|product-309|1234|1234|bill-number
order-211|Closed|product-309|1|0|
order-212|Closed|product-309|4000|1200|12
order-212|Open|product-309|4000|2000|
order-213|Closed|product-309|4000|1200|1235
order-213|Closed|product-309|4000|2800|344
order-214|Open|product-309|4000|1000|543543543
order-214|Closed|product-309|4000|2800|543543
order-215|Closed|product-387|1234|1234|bill-number
order-216|Closed|product-387|1|0|
order-217|Closed|product-387|4000|1200|12
order-217|Open|product-387|4000|2000|
order-218|Closed|product-387|4000|1200|1235
order-218|Closed|product-387|4000|2800|344
order-219|Open|product-387|4000|1000|543543543
order-219|Closed|product-387|4000|2800|543543
order-220|Closed|product-770|1234|1234|bill-number
order-221|Closed|product-770|1|0|
order-222|Closed|product-770|4000|1200|12
order-222|Open|product-770|4000|2000|
order-223|Closed|product-770|4000|1200|1235
order-223|Closed|product-770|4000|2800|344
order-224|Open|product-770|4000|1000|543543543
order-224|Closed|product-770|4000|2800|543543
order-225|Closed|product-614|1234|1234|bill-number
order-226|Closed|product-614|1|0|
order-227|Closed|product-614|4000|1200|12
order-227|Open|product-614|4000|2000|
order-228|Closed|product-614|4000|1200|1235
order-228|Closed|product-614|4000|2800|344
order-229|Open|product-614|4000|1000|543543543
order-229|Closed|product-614|4000|2800|543543
order-230|Closed|product-887|1234|1234|bill-number
order-231|Closed|product-887|1|0|
order-232|Closed|product-887|4000|1200|12
order-232|Open|product-887|4000|2000|
order-233|Closed|product-887|4000|1200|1235
order-233|Closed|product-887|4000|2800|344
order-234|Open|product-887|4000|1000|543543543
order-234|Closed|product-887|4000|2800|543543
order-235|Closed|product-182|1234|1234|bill-number
order-236|Closed|product-182|1|0|
order-237|Closed|product-182|4000|1200|12
order-237|Open|product-182|4000|2000|
order-238|Closed|product-182|4000|1200|1235
order-238|Closed|product-182|4000|2800|344
order-239|Open|product-182|4000|1000|543543543
order-239|Closed|product-182|4000|2800|543543
order-240|Closed|product-670|1234|1234|bill-number
order-241|Closed|product-670|1|0|
order-242|Closed|product-670|4000|1200|12
order-242|Open|product-670|4000|2000|
order-243|Closed|product-670|4000|1200|1235
order-243|Closed|product-670|4000|2800|344
order-244|Open|product-670|4000|1000|543543543
order-244|Closed|product-670|4000|2800|543543
order-245|Closed|product-307|1234|1234|bill-number
order-246|Closed|product-307|1|0|
order-247|Closed|product-307|4000|1200|12
order-247|Open|product-307|4000|2000|
order-248|Closed|product-307|4000|1200|1235
order-248|Closed|product-307|4000|2800|344
order-249|Open|product-307|4000|1000|543543543
order-249|Closed|product-307|4000|2800|543543
order-250|Closed|product-993|1234|1234|bill-number
order-251|Closed|product-993|1|0|
order-252|Closed|product-993|4000|1200|12
order-252|Open|product-993|4000|2000|
order-253|Closed|product-993|4000|1200|1235
order-253|Closed|product-993|4000|2800|344
order-254|Open|product-993|4000|1000|543543543
order-254|Closed|product-993|4000|2800|543543
order-255|Closed|product-706|1234|1234|bill-number
order-256|Closed|product-706|1|0|
order-257|Closed|product-706|4000|1200|12
order-257|Open|product-706|4000|2000|
order-258|Closed|product-706|4000|1200|1235
order-258|Closed|product-706|4000|2800|344
order-259|Open|product-706|4000|1000|543543543
order-259|Closed|product-706|4000|2800|543543
order-260|Closed|product-874|1234|1234|bill-number
order-261|Closed|product-874|1|0|
order-262|Closed|product-874|4000|1200|12
order-262|Open|product-874|4000|2000|
order-263|Closed|product-874|4000|1200|1235
order-263|Closed|product-874|4000|2800|344
order-264|Open|product-874|4000|1000|543543543
order-264|Closed|product-874|4000|2800|543543
order-265|Closed|product-958|1234|1234|bill-number
order-266|Closed|product-958|1|0|
order-267|Closed|product-958|4000|1200|12
order-267|Open|product-958|4000|2000|
order-268|Closed|product-958|4000|1200|1235
order-268|Closed|product-958|4000|2800|344
order-269|Open|product-958|4000|1000|543543543
order-269|Closed|product-958|4000|2800|543543
order-270|Closed|product-885|1234|1234|bill-number
order-271|Closed|product-885|1|0|
order-272|Closed|product-885|4000|1200|12
order-272|Open|product-885|4000|2000|
order-273|Closed|product-885|4000|1200|1235
order-273|Closed|product-885|4000|2800|344
order-274|Open|product-885|4000|1000|543543543
order-274|Closed|product-885|4000|2800|543543
order-275|Closed|product-45|1234|1234|bill-number
order-276|Closed|product-45|1|0|
order-277|Closed|product-45|4000|1200|12
order-277|Open|product-45|4000|2000|
order-278|Closed|product-45|4000|1200|1235
order-278|Closed|product-45|4000|2800|344
order-279|Open|product-45|4000|1000|543543543
order-279|Closed|product-45|4000|2800|543543
order-280|Closed|product-67|1234|1234|bill-number
order-281|Closed|product-67|1|0|
order-282|Closed|product-67|4000|1200|12
order-282|Open|product-67|4000|2000|
order-283|Closed|product-67|4000|1200|1235
order-283|Closed|product-67|4000|2800|344
order-284|Open|product-67|4000|1000|543543543
order-284|Closed|product-67|4000|2800|543543
order-285|Closed|product-539|1234|1234|bill-number
order-286|Closed|product-539|1|0|
order-287|Closed|product-539|4000|1200|12
order-287|Open|product-539|4000|2000|
order-288|Closed|product-539|4000|1200|1235
order-288|Closed|product-539|4000|2800|344
order-289|Open|product-539|4000|1000|543543543
order-289|Closed|product-539|4000|2800|543543
order-290|Closed|product-478|1234|1234|bill-number
order-291|Closed|product-478|1|0|
order-292|Closed|product-478|4000|1200|12
order-292|Open|product-478|4000|2000|
order-293|Closed|product-478|4000|1200|1235
order-293|Closed|product-478|4000|2800|344
order-294|Open|product-478|4000|1000|543543543
order-294|Closed|product-478|4000|2800|543543
order-295|Closed|product-197|1234|1234|bill-number
order-296|Closed|product-197|1|0|
order-297|Closed|product-197|4000|1200|12
order-297|Open|product-197|4000|2000|
order-298|Closed|product-197|4000|1200|1235
order-298|Closed|product-197|4000|2800|344
order-299|Open|product-197|4000|1000|543543543
order-299|Closed|product-197|4000|2800|543543
order-300|Closed|product-381|1234|1234|bill-number
order-301|Closed|product-381|1|0|
order-302|Closed|product-381|4000|1200|12
order-302|Open|product-381|4000|2000|
order-303|Closed|product-381|4000|1200|1235
order-303|Closed|product-381|4000|2800|344
order-304|Open|product-381|4000|1000|543543543
order-304|Closed|product-381|4000|2800|543543
order-305|Closed|product-947|1234|1234|bill-number
order-306|Closed|product-947|1|0|
order-307|Closed|product-947|4000|1200|12
order-307|Open|product-947|4000|2000|
order-308|Closed|product-947|4000|1200|1235
order-308|Closed|product-947|4000|2800|344
order-309|Open|product-947|4000|1000|543543543
order-309|Closed|product-947|4000|2800|543543
order-310|Closed|product-829|1234|1234|bill-number
order-311|Closed|product-829|1|0|
order-312|Closed|product-829|4000|1200|12
order-312|Open|product-829|4000|2000|
order-313|Closed|product-829|4000|1200|1235
order-313|Closed|product-829|4000|2800|344
order-314|Open|product-829|4000|1000|543543543
order-314|Closed|product-829|4000|2800|543543
order-315|Closed|product-348|1234|1234|bill-number
order-316|Closed|product-348|1|0|
order-317|Closed|product-348|4000|1200|12
order-317|Open|product-348|4000|2000|
order-318|Closed|product-348|4000|1200|1235
order-318|Closed|product-348|4000|2800|344
order-319|Open|product-348|4000|1000|543543543
order-319|Closed|product-348|4000|2800|543543
order-320|Closed|product-37|1234|1234|bill-number
order-321|Closed|product-37|1|0|
order-322|Closed|product-37|4000|1200|12
order-322|Open|product-37|4000|2000|
order-323|Closed|product-37|4000|1200|1235
order-323|Closed|product-37|4000|2800|344
order-324|Open|product-37|4000|1000|543543543
order-324|Closed|product-37|4000|2800|543543
order-325|Closed|product-732|1234|1234|bill-number
order-326|Closed|product-732|1|0|
order-327|Closed|product-732|4000|1200|12
order-327|Open|product-732|4000|2000|
order-328|Closed|product-732|4000|1200|1235
order-328|Closed|product-732|4000|2800|344
order-329|Open|product-732|4000|1000|543543543
order-329|Closed|product-732|4000|2800|543543
order-330|Closed|product-325|1234|1234|bill-number
order-331|Closed|product-325|1|0|
order-332|Closed|product-325|4000|1200|12
order-332|Open|product-325|4000|2000|
order-333|Closed|product-325|4000|1200|1235
order-333|Closed|product-325|4000|2800|344
order-334|Open|product-325|4000|1000|543543543
order-334|Closed|product-325|4000|2800|543543
order-335|Closed|product-738|1234|1234|bill-number
order-336|Closed|product-738|1|0|
order-337|Closed|product-738|4000|1200|12
order-337|Open|product-738|4000|2000|
order-338|Closed|product-738|4000|1200|1235
order-338|Closed|product-738|4000|2800|344
order-339|Open|product-738|4000|1000|543543543
order-339|Closed|product-738|4000|2800|543543
order-340|Closed|product-376|1234|1234|bill-number
order-341|Closed|product-376|1|0|
order-342|Closed|product-376|4000|1200|12
order-342|Open|product-376|4000|2000|
order-343|Closed|product-376|4000|1200|1235
order-343|Closed|product-376|4000|2800|344
order-344|Open|product-376|4000|1000|543543543
order-344|Closed|product-376|4000|2800|543543
order-345|Closed|product-308|1234|1234|bill-number
order-346|Closed|product-308|1|0|
order-347|Closed|product-308|4000|1200|12
order-347|Open|product-308|4000|2000|
order-348|Closed|product-308|4000|1200|1235
order-348|Closed|product-308|4000|2800|344
order-349|Open|product-308|4000|1000|543543543
order-349|Closed|product-308|4000|2800|543543
order-350|Closed|product-194|1234|1234|bill-number
order-351|Closed|product-194|1|0|
order-352|Closed|product-194|4000|1200|12
order-352|Open|product-194|4000|2000|
order-353|Closed|product-194|4000|1200|1235
order-353|Closed|product-194|4000|2800|344
order-354|Open|product-194|4000|1000|543543543
order-354|Closed|product-194|4000|2800|543543
order-355|Closed|product-622|1234|1234|bill-number
order-356|Closed|product-622|1|0|
order-357|Closed|product-622|4000|1200|12
order-357|Open|product-622|4000|2000|
order-358|Closed|product-622|4000|1200|1235
order-358|Closed|product-622|4000|2800|344
order-359|Open|product-622|4000|1000|543543543
order-359|Closed|product-622|4000|2800|543543
order-360|Closed|product-705|1234|1234|bill-number
order-361|Closed|product-705|1|0|
order-362|Closed|product-705|4000|1200|12
order-362|Open|product-705|4000|2000|
order-363|Closed|product-705|4000|1200|1235
order-363|Closed|product-705|4000|2800|344
order-364|Open|product-705|4000|1000|543543543
order-364|Closed|product-705|4000|2800|543543
order-365|Closed|product-349|1234|1234|bill-number
order-366|Closed|product-349|1|0|
order-367|Closed|product-349|4000|1200|12
order-367|Open|product-349|4000|2000|
order-368|Closed|product-349|4000|1200|1235
order-368|Closed|product-349|4000|2800|344
order-369|Open|product-349|4000|1000|543543543
order-369|Closed|product-349|4000|2800|543543
order-370|Closed|product-459|1234|1234|bill-number
order-371|Closed|product-459|1|0|
order-372|Closed|product-459|4000|1200|12
order-372|Open|product-459|4000|2000|
order-373|Closed|product-459|4000|1200|1235
order-373|Closed|product-459|4000|2800|344
order-374|Open|product-459|4000|1000|543543543
order-374|Closed|product-459|4000|2800|543543
order-375|Closed|product-173|1234|1234|bill-number
order-376|Closed|product-173|1|0|
order-377|Closed|product-173|4000|1200|12
order-377|Open|product-173|4000|2000|
order-378|Closed|product-173|4000|1200|1235
order-378|Closed|product-173|4000|2800|344
order-379|Open|product-173|4000|1000|543543543
order-379|Closed|product-173|4000|2800|543543
order-380|Closed|product-927|1234|1234|bill-number
order-381|Closed|product-927|1|0|
order-382|Closed|product-927|4000|1200|12
order-382|Open|product-927|4000|2000|
order-383|Closed|product-927|4000|1200|1235
order-383|Closed|product-927|4000|2800|344
order-384|Open|product-927|4000|1000|543543543
order-384|Closed|product-927|4000|2800|543543
order-385|Closed|product-955|1234|1234|bill-number
order-386|Closed|product-955|1|0|
order-387|Closed|product-955|4000|1200|12
order-387|Open|product-955|4000|2000|
order-388|Closed|product-955|4000|1200|1235
order-388|Closed|product-955|4000|2800|344
order-389|Open|product-955|4000|1000|543543543
order-389|Closed|product-955|4000|2800|543543
order-390|Closed|product-199|1234|1234|bill-number
order-391|Closed|product-199|1|0|
order-392|Closed|product-199|4000|1200|12
order-392|Open|product-199|4000|2000|
order-393|Closed|product-199|4000|1200|1235
order-393|Closed|product-199|4000|2800|344
order-394|Open|product-199|4000|1000|543543543
order-394|Closed|product-199|4000|2800|543543
order-395|Closed|product-700|1234|1234|bill-number
order-396|Closed|product-700|1|0|
order-397|Closed|product-700|4000|1200|12
order-397|Open|product-700|4000|2000|
order-398|Closed|product-700|4000|1200|1235
order-398|Closed|product-700|4000|2800|344
order-399|Open|product-700|4000|1000|543543543
order-399|Closed|product-700|4000|2800|543543
order-400|Closed|product-547|1234|1234|bill-number
order-401|Closed|product-547|1|0|
order-402|Closed|product-547|4000|1200|12
order-402|Open|product-547|4000|2000|
order-403|Closed|product-547|4000|1200|1235
order-403|Closed|product-547|4000|2800|344
order-404|Open|product-547|4000|1000|543543543
order-404|Closed|product-547|4000|2800|543543
order-405|Closed|product-159|1234|1234|bill-number
order-406|Closed|product-159|1|0|
order-407|Closed|product-159|4000|1200|12
order-407|Open|product-159|4000|2000|
order-408|Closed|product-159|4000|1200|1235
order-408|Closed|product-159|4000|2800|344
order-409|Open|product-159|4000|1000|543543543
order-409|Closed|product-159|4000|2800|543543
order-410|Closed|product-915|1234|1234|bill-number
order-411|Closed|product-915|1|0|
order-412|Closed|product-915|4000|1200|12
order-412|Open|product-915|4000|2000|
order-413|Closed|product-915|4000|1200|1235
order-413|Closed|product-915|4000|2800|344
order-414|Open|product-915|4000|1000|543543543
order-414|Closed|product-915|4000|2800|543543
order-415|Closed|product-167|1234|1234|bill-number
order-416|Closed|product-167|1|0|
order-417|Closed|product-167|4000|1200|12
order-417|Open|product-167|4000|2000|
order-418|Closed|product-167|4000|1200|1235
order-418|Closed|product-167|4000|2800|344
order-419|Open|product-167|4000|1000|543543543
order-419|Closed|product-167|4000|2800|543543
order-420|Closed|product-233|1234|1234|bill-number
order-421|Closed|product-233|1|0|
order-422|Closed|product-233|4000|1200|12
order-422|Open|product-233|4000|2000|
order-423|Closed|product-233|4000|1200|1235
order-423|Closed|product-233|4000|2800|344
order-424|Open|product-233|4000|1000|543543543
order-424|Closed|product-233|4000|2800|543543
order-425|Closed|product-192|1234|1234|bill-number
order-426|Closed|product-192|1|0|
order-427|Closed|product-192|4000|1200|12
order-427|Open|product-192|4000|2000|
order-428|Closed|product-192|4000|1200|1235
order-428|Closed|product-192|4000|2800|344
order-429|Open|product-192|4000|1000|543543543
order-429|Closed|product-192|4000|2800|543543
